description,images,link,price,thumbnail,title
Hermes newborn - 3 month cashmere mittens. Never worn. Sold with box,,https://www.vestiairecollective.com/kids-accessories/hats-gloves/hermes/beige-cashmere-hermes-hat-gloves-31436908.shtml,10058,https://images.vestiairecollective.com/produit/31436908-1_4.jpg,Cashmere hat & gloves
"These are professional pictures of the actual item offered by Rebag.

Condition: Very good.  Scuffs, marks and minor wear on exterior, underneath flap and in interior, light splitting on base corner wax edges, scratches on hardware. 
Accessories: No Accessories 
Measurements: Handle Drop 0"", Height 5.5"", Width 10"", Depth 1.5"", Strap Drop 0""
Designer: Hermes
Model: Piano Clutch Box Calf
Exterior Material: Leather 
Exterior Color: Brown 
Interior Material: Leather 
Interior Color: Brown 
Hardware Color: Palladium 
Brand Code: F Square (2002) 
Item Number: 202293/7",,https://www.vestiairecollective.com/women-bags/handbags/hermes/brown-leather-hermes-handbag-31922824.shtml,145000,https://images.vestiairecollective.com/produit/31922824-1_2.jpg,Leather handbag
"Purchased in October 2022
Total new, never used.
Swift, new color -Chai, two colors mixed.
Box, dustbag and invoice.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/beige-leather-lindy-hermes-handbag-28692700.shtml,1198296,https://images.vestiairecollective.com/produit/28692700-1_3.jpg,Lindy leather handbag
HERMÈS square scarf La promenade de Longchamps,,https://www.vestiairecollective.com/women-accessories/scarves/hermes/beige-other-hermes-scarf-31358898.shtml,19972,https://images.vestiairecollective.com/produit/31358898-2_4.jpg,Neckerchief
"[Control number] 5C0006IIEE5
[Brand] エルメス（HERMES）
[subject] unisex
[Color] Red/Rouge
[Metal fittings] Silver
[model] tea time
[Country of origin] France
[size] about 0.8"" x 0.8""
[material] Metal Metal
[accessories] Box、Dust Bag

■Condition
[Status] 
Although it is an unused item, there may be slight light stains/scratches due to storage. It has a protective sticker on both sides.",,https://www.vestiairecollective.com/women-accessories/scarves/hermes/red-other-hermes-scarf-31648426.shtml,18023,https://images.vestiairecollective.com/produit/31648426-1_2.jpg,Scarf
"HERMES Hermes Birkin 35 tabak camel □G engraved (around 2003) unisex aurillon Clemence handbag / Brand : Hermes Line : Birkin Type : Handbag Gender : Men,Women,Unisex Material Fashion : Taurillon clemence leather Color Cases : Camel Outer Pocket : Turn lock Handmade : Yes Size Hxwxd Cm : 25cm x 35cm x 18cm / 9.84'' x 13.77'' x 7.08'' Width Cm : 35 Depth Cm : 18 Accessories : Clochette, Dust bag Accessories Notice : Before purchasing, please refer to the images of the accessories included with the item. Condition : Used (very good) Condition : Rank A Used - A few traces of usage, some scratches / dirt can be seen but overall in very good condition Condition : Rank A Condition : Used - A few traces of usage, some scratches / dirt can be seen but overall in very good condition Initial Added : Yes Condition Notice : Before purchasing, please refer to the images for the exact condition of the item.  sku : GZwkqm",,https://www.vestiairecollective.com/women-bags/handbags/hermes/camel-leather-birkin-25-hermes-handbag-30419720.shtml,1179900,https://images.vestiairecollective.com/produit/30419720-1_2.jpg,Birkin 25 leather handbag
"Birkin 40 in Togo with palladium hardware From the 2000 Collection. Estimated Colour Red Imperial. Two rollecd leather top handles and classic front twist lock fastening. Complete with padlock, clochette and keys. Sold without packaging. Made in France.
Composition: 100% leather 
Measurements: 30cm (W) x 28cm (H) x 19cm (Depth) x 11cm (Handle height).
Note: Heavy wear to corners. Scratching to metal parts. Light markings to front. Scratching to base and tarnishing to metal feet. Cracking to edge coat on handles. Inside zipped pocket shows heavy wear. General marks and scratching to interior from wear. Sold without packaging. Made in France.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/burgundy-leather-birkin-30-hermes-handbag-31659367.shtml,1350484,https://images.vestiairecollective.com/produit/31659367-1_5.jpg,Birkin 30 leather handbag
"Olympe earring, Pale mauve
Epsom calfskin ear cuff with rose gold plated details.

delivered with box and dustbag

 1.6cm x 0.8cm",,https://www.vestiairecollective.com/women-jewellery/earrings/hermes/gold-pink-gold-hermes-earrings-29175290.shtml,36287,https://images.vestiairecollective.com/produit/29175290-1_1.jpg,Pink gold earrings
"Beautiful Constance To Go in the color, toffee-gold. Epsom Leather with Gold hardware. Perfect everyday crossbody bag or as a clutch for a nice evening out.

Full set! with box and protective stickers. Never been used. ",,https://www.vestiairecollective.com/women-bags/handbags/hermes/gold-leather-hermes-handbag-31286174.shtml,855000,https://images.vestiairecollective.com/produit/31286174-1_3.jpg,Constance leather handbag
"Hermès vintage tie, dark green with beige ring print, model 811 MA

Brand: Hermès

Composition: 100% silk
 
Condition: excellent",,https://www.vestiairecollective.com/men-accessories/ties/hermes/green-silk-hermes-tie-31399829.shtml,9398,https://images.vestiairecollective.com/produit/31399829-1_2.jpg,Silk tie
"Brand be unused. PM size in sesame, rose sakura, and malachite. Stamp Z FS. Comes with box and ribbon.",,https://www.vestiairecollective.com/women-jewellery/bag-charms/hermes/multicolour-leather-rodeo-hermes-bag-charm-31604383.shtml,63000,https://images.vestiairecollective.com/produit/31604383-1_2.jpg,Rodeo leather bag charm
Blue and Yellow silk Twilly 86 scarf. Pani La Shar Pawnee design with horses and Indians. Measurements: 5cm (W). Made in France. Sold without packaging.,,https://www.vestiairecollective.com/women-accessories/scarves/hermes/blue-silk-twilly-86-hermes-scarf-30733054.shtml,22321,https://images.vestiairecollective.com/produit/30733054-1_5.jpg,Twilly 86 silk choker
I am selling these new and original Hermès leather gloves in size 8. They are lined with cashmere on the inside. always sold out!,,https://www.vestiairecollective.com/women-accessories/gloves/hermes/black-leather-hermes-gloves-31082164.shtml,57448,https://images.vestiairecollective.com/produit/31082164-1_2.jpg,Leather gloves
"Brand new, never worn, almond green",,https://www.vestiairecollective.com/women-accessories/silk-handkerchief/hermes/multicolour-other-carre-90-hermes-silk-handkerchief-29679487.shtml,44642,https://images.vestiairecollective.com/produit/29679487-1_3.jpg,Carré 90 silk handkerchief
"Calvi Duo Compact Card holder with coins pouch 

Upgrade version of classic compact Calvi, with a additional coin Pouch 

Beautiful colour of Rose Extreme

Leather: Chèvre Chamkila 

Measure : 10,5 cm X 7 cm 
 Sold with copy of store receipt 2023 
",,https://www.vestiairecollective.com/women-accessories/purses-wallets-cases/hermes/pink-leather-calvi-hermes-purse-31768067.shtml,64379,https://images.vestiairecollective.com/produit/31768067-1_4.jpg,Calvi leather card wallet
"Hermes 24/24 Togo Leather; Peacock Green, pebble leather handbag. Gold hardware. Twist closure. Inner zipper pocket. Made in France. 
Measurements: Width 34 cm, Height 26 cm, Depth 16 cm. 

Please note: slight rubbing on corners.",,https://www.vestiairecollective.com/women-bags/handbags/hermes/other-leather-24-24-hermes-handbag-30922312.shtml,646800,https://images.vestiairecollective.com/produit/30922312-1_2.jpg,24/24 leather handbag
